trase_code,uml_id,group,company,mill_name,latitude,longitude,capacity_tonnes_ffb_hour,status,earliest_year_of_existence,earliest_year_of_existence_source,kabupaten_name,kabupaten_trase_id,province_name
M-00307,PO1000006236,HASNUR,HASNUR CITRA TERPADU,HASNUR CITRA TERPADU,-2.961579544,114.9858506,45,Operating,2013,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",TAPIN,ID-6305,KALIMANTAN SELATAN
M-00308,PO1000004496,HERFINTA,HERFINTA FARM & PLANTATION,HERFINTA FARM & PLANTATION,1.854133387,100.1660759,40,Operating,1999,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",LABUHAN BATU SELATAN,ID-1222,SUMATERA UTARA
M-00309,PO1000004241,HUTAHAEAN,HUTAHAEAN,TELUK SONO,1.06,100.7572,30,Operating,2004,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ROKAN HULU,ID-1407,RIAU
M-00310,PO1000004443,HUTAHAEAN,HUTAHAEAN,DALU DALU,1.179548619,100.2689504,60,Operating,1998,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ROKAN HULU,ID-1407,RIAU
M-00311,PO1000004533,KUALA LUMPUR KEPONG (KLK),HUTAN HIJAU MAS,BERAU,2.212039798,117.1671114,120,Operating,2010,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),BERAU,ID-6405,KALIMANTAN TIMUR
M-00314,PO1000004169,INCASI RAYA (GUNAS),SUMATERA JAYA AGRO LESTARI,SILAUT,-2.32804846,100.9940559,60,Operating,2013,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",PESISIR SELATAN,ID-1302,SUMATERA BARAT
M-00315,PO1000004530,INCASI RAYA (GUNAS),INCASI RAYA,SODETAN,-2.18273043,100.9180891,20,Operating,2008,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",PESISIR SELATAN,ID-1302,SUMATERA BARAT
M-00316,PO1000004100,INCASI RAYA (GUNAS),MEGASAWINDO PERKASA,MEGASAWINDO PERKASA,-1.683782542,102.2346696,80,Operating,2009,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),BUNGO,ID-1509,JAMBI
M-00318,PO1000004464,INCASI RAYA (GUNAS),JAMIKA RAYA,JAMIKA RAYA,-1.444761401,101.7513474,60,Operating,1999,Establishment year based on other government record of establishment (e.g. Permit database),BUNGO,ID-1509,JAMBI
M-00319,PO1000004864,INCASI RAYA (GUNAS),BINA PRATAMA SAKATO JAYA,SOLOK SELATAN,-1.392677688,101.5940118,60,Operating,2015,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",SOLOK SELATAN,ID-1310,SUMATERA BARAT
M-00320,PO1000004451,INCASI RAYA (GUNAS),INCASI RAYA,PANGIAN,-1.321157165,101.6471697,50,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",DHARMASRAYA,ID-1311,SUMATERA BARAT
M-00321,PO1000004447,INCASI RAYA (GUNAS),SELAGO MAKMUR PLANTATION,SELAGO MAKMUR PLANTATION,-1.251020069,101.5735979,40,Operating,2006,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",DHARMASRAYA,ID-1311,SUMATERA BARAT
M-00322,PO1000004426,INCASI RAYA (GUNAS),SUMBAR ANDALAS KENCANA,SUMBAR ANDALAS KENCANA,-0.996382973,101.7401164,60,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",DHARMASRAYA,ID-1311,SUMATERA BARAT
M-00323,PO1000004337,INCASI RAYA (GUNAS),MULTI JAYA PERKASA,MULTI JAYA PERKASA,-0.040759488,110.8063853,30,Operating,2006,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),SEKADAU,ID-6109,KALIMANTAN BARAT
M-00324,PO1000004375,INCASI RAYA (GUNAS),BINTARA TANI NUSANTARA,BINTARA TANI NUSANTARA,0.332209472,99.38150705,100,Operating,2010,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",PASAMAN BARAT,ID-1312,SUMATERA BARAT
M-00325,PO1000004378,INCASI RAYA (GUNAS),PASAMAN MARAMA SEJAHTERA,PASAMAN MARAMA SEJAHTERA,0.363985284,99.63302078,60,Operating,2008,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",PASAMAN BARAT,ID-1312,SUMATERA BARAT
M-00326,PO1000008137,INDAH,SUN SAWIT,SUN SAWIT,-3.16833056,104.8919944,45,Operating,2015,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",OGAN KOMERING ILIR,ID-1602,SUMATERA SELATAN
M-00327,PO1000008178,INDAH,BASTIAN OLAH SAWIT,BASTIAN OLAH SAWIT,-2.351332091,103.9125072,30,Operating,2013,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),MUSI BANYUASIN,ID-1606,SUMATERA SELATAN
